,City,Latitude,Longitude,Maximum Temperature,Humidity %,Cloudiness %,Wind Speed(mph),Country,Date
47,San Pedro de Macorís,18.46,-69.3,28.0,88,75,2.1,DO,2020-11-08 01:09:40
48,Bethel,41.37,-73.41,15.56,76,1,1.5,US,2020-11-08 01:09:41
49,Along,28.17,94.77,14.22,53,0,0.85,IN,2020-11-08 01:09:41
50,Ugoofaaru,5.67,73.0,26.92,78,10,0.39,MV,2020-11-08 01:09:41
51,Jamestown,42.1,-79.24,16.0,41,1,2.6,US,2020-11-08 01:09:41
52,Kavieng,-2.57,150.8,29.88,64,34,2.77,PG,2020-11-08 01:09:41
53,Ponta do Sol,32.67,-17.1,17.0,77,20,1.5,PT,2020-11-08 01:09:41
54,Yellowknife,62.46,-114.35,-14.44,84,40,1.5,CA,2020-11-08 01:09:43
55,Bredasdorp,-34.53,20.04,15.0,82,12,6.2,ZA,2020-11-08 01:09:43
56,Guerrero Negro,27.98,-114.06,18.1,69,0,7.78,MX,2020-11-08 01:07:40
57,Pacific Grove,36.62,-121.92,13.0,66,75,5.7,US,2020-11-08 01:05:16
58,Mackenzie,55.3,-123.17,-1.0,54,90,2.1,CA,2020-11-08 01:09:43
59,Glendive,47.11,-104.71,3.0,86,1,6.2,US,2020-11-08 01:04:49
60,Beidao,34.57,105.89,9.9,46,99,0.55,CN,2020-11-08 01:09:43
61,Muravlenko,63.79,74.52,0.59,99,100,3.97,RU,2020-11-08 01:09:44
62,Arraial do Cabo,-22.97,-42.03,22.48,77,100,3.82,BR,2020-11-08 01:07:52
63,Khovd,48.01,91.64,-3.18,90,0,0.05,MN,2020-11-08 01:09:44
64,Florence,43.77,11.25,12.22,100,0,1.0,IT,2020-11-08 01:07:43
65,Punta Arenas,-53.15,-70.92,12.0,66,40,12.3,CL,2020-11-08 01:09:44
66,Avarua,-21.21,-159.78,25.0,78,48,3.1,CK,2020-11-08 01:09:44
67,Thompson,55.74,-97.86,-9.0,92,90,2.6,CA,2020-11-08 01:03:27
68,Yarkovo,57.4,67.08,2.25,98,100,1.63,RU,2020-11-08 01:09:45
69,Qeshm,26.96,56.27,21.0,83,0,3.1,IR,2020-11-08 01:09:45
70,Kushima,31.46,131.23,19.0,68,75,4.6,JP,2020-11-08 01:09:45
71,Piaçabuçu,-10.41,-36.43,25.12,84,8,5.25,BR,2020-11-08 01:09:45
72,Fare,-16.7,-151.02,26.78,73,100,4.96,PF,2020-11-08 01:09:45
73,Chumikan,54.72,135.31,-10.39,86,0,6.43,RU,2020-11-08 01:09:46
74,Faanui,-16.48,-151.75,26.32,75,100,5.13,PF,2020-11-08 01:09:46
75,Severo-Kuril'sk,50.68,156.12,2.62,76,10,2.08,RU,2020-11-08 01:09:46
76,Urucará,-2.54,-57.76,25.54,82,20,1.05,BR,2020-11-08 01:07:27
77,Chokwé,-24.53,32.98,28.8,38,0,2.58,MZ,2020-11-08 01:09:46
78,Atuona,-9.8,-139.03,25.26,79,16,5.99,PF,2020-11-08 01:09:46
79,Nouadhibou,20.93,-17.03,22.0,68,100,6.7,MR,2020-11-08 01:09:46
80,Hilo,19.73,-155.09,24.0,88,90,2.1,US,2020-11-08 01:09:46
81,Hasaki,35.73,140.83,19.0,82,75,3.6,JP,2020-11-08 01:09:47
82,Necochea,-38.55,-58.74,12.78,89,0,3.13,AR,2020-11-08 01:09:47
83,Okhotsk,59.38,143.3,-11.09,89,56,7.1,RU,2020-11-08 01:09:47
84,Port-Gentil,-0.72,8.78,26.09,86,100,5.33,GA,2020-11-08 01:09:47
85,Saint-Pierre,-21.34,55.48,22.0,78,75,1.5,RE,2020-11-08 01:09:47
86,Green River,41.53,-109.47,11.0,50,1,7.7,US,2020-11-08 01:09:47
87,San Cristobal,7.77,-72.22,19.77,92,94,0.49,VE,2020-11-08 01:09:48
88,Vestmanna,62.16,-7.17,5.0,80,66,1.0,FO,2020-11-08 01:09:50
89,Tombouctou,20.0,-3.0,26.84,16,0,4.41,ML,2020-11-08 01:09:50
90,Mogadishu,2.04,45.34,26.11,81,99,2.3,SO,2020-11-08 01:07:26
91,Sobolevo,54.43,31.9,9.52,90,100,5.76,RU,2020-11-08 01:09:50
92,Pandharpur,17.67,75.33,20.18,69,0,2.64,IN,2020-11-08 01:09:50
93,Wanning,18.8,110.4,24.37,76,6,6.67,CN,2020-11-08 01:09:50
94,Vaini,-21.2,-175.2,28.0,69,20,2.6,TO,2020-11-08 01:09:50
95,Jaguariaíva,-24.25,-49.71,17.08,57,0,1.89,BR,2020-11-08 01:09:51
96,Dingle,11.0,122.67,26.95,79,12,0.77,PH,2020-11-08 01:09:51
97,Nikolskoye,59.7,30.79,9.0,81,90,5.0,RU,2020-11-08 01:09:51
98,Puerto Ayacucho,5.66,-67.62,25.68,87,100,1.93,VE,2020-11-08 01:09:51
99,Roblin,51.23,-101.36,-2.33,91,100,9.18,CA,2020-11-08 01:06:36
100,Mar del Plata,-38.0,-57.56,16.67,93,0,2.6,AR,2020-11-08 01:09:51
101,Bay Roberts,47.6,-53.26,2.78,88,71,0.89,CA,2020-11-08 01:09:51
102,Dhidhdhoo,6.88,73.1,28.45,78,59,5.62,MV,2020-11-08 01:09:51
103,São Filipe,14.9,-24.5,26.27,76,90,3.88,CV,2020-11-08 01:09:51
104,Atikokan,48.76,-91.62,11.57,94,100,2.3,CA,2020-11-08 01:09:52
105,Makakilo City,21.35,-158.09,31.0,55,40,3.1,US,2020-11-08 01:09:52
106,Villazón,-22.09,-65.59,7.88,78,100,5.84,BO,2020-11-08 01:09:52
107,Manavālakurichi,8.13,77.3,28.0,78,40,1.0,IN,2020-11-08 01:09:52
108,Khatanga,71.97,102.5,-20.25,86,0,5.56,RU,2020-11-08 01:09:53
109,Gushikawa,26.35,127.87,28.0,94,1,3.1,JP,2020-11-08 01:09:27
110,Basco,20.45,121.97,27.16,82,52,11.76,PH,2020-11-08 01:09:54
111,Dakar,14.69,-17.44,28.0,83,0,2.1,SN,2020-11-08 01:07:18
112,Chokurdakh,70.63,147.92,-16.64,95,100,1.98,RU,2020-11-08 01:09:54
113,Nanortalik,60.14,-45.24,-1.25,95,100,4.12,GL,2020-11-08 01:09:55
114,Cayenne,4.93,-52.33,26.0,94,0,1.5,GF,2020-11-08 01:09:55
115,Merseburg,51.37,12.0,4.0,80,0,3.6,DE,2020-11-08 01:09:55
116,Tessalit,20.2,1.01,21.98,23,48,4.84,ML,2020-11-08 01:05:31
117,Iralaya,15.0,-83.23,26.01,88,100,6.79,HN,2020-11-08 01:09:56
118,City of San Pedro,14.35,121.02,28.33,83,75,4.1,PH,2020-11-08 01:09:56
119,Clyde River,70.47,-68.59,-18.0,64,1,4.1,CA,2020-11-08 01:09:56
120,Airai,-8.93,125.41,25.94,36,14,2.02,TL,2020-11-08 01:09:56
121,Watsa,3.04,29.54,17.45,100,84,0.49,CD,2020-11-08 01:09:56
122,Tuatapere,-46.13,167.68,12.22,53,3,4.02,NZ,2020-11-08 01:09:57
123,Semey,50.41,80.23,2.0,64,75,3.0,KZ,2020-11-08 01:09:57
124,Portland,45.52,-122.68,6.67,86,99,0.45,US,2020-11-08 01:06:19
125,Rawson,-43.3,-65.1,16.38,62,97,9.41,AR,2020-11-08 01:09:57
126,Pangnirtung,66.15,-65.71,-15.5,85,82,1.56,CA,2020-11-08 01:09:57
127,Lompoc,34.64,-120.46,13.0,71,75,4.1,US,2020-11-08 01:09:57
128,Upernavik,72.79,-56.15,-16.9,78,83,3.57,GL,2020-11-08 01:09:57
129,Loa Janan,-0.58,117.09,27.8,81,100,1.13,ID,2020-11-08 01:05:41
130,Ust-Maya,60.42,134.53,-18.55,90,100,2.2,RU,2020-11-08 01:09:57
131,Krasnosel'kup,65.7,82.47,1.42,99,100,2.95,RU,2020-11-08 01:09:58
132,Hithadhoo,-0.6,73.08,28.76,71,11,3.52,MV,2020-11-08 01:09:58
133,Atambua,-9.11,124.89,31.26,38,11,0.8,ID,2020-11-08 01:09:58
134,George Town,5.41,100.34,27.0,94,20,1.8,MY,2020-11-08 00:59:43
135,Batagay-Alyta,67.8,130.41,-24.7,80,0,0.49,RU,2020-11-08 01:09:58
136,Saint-François,46.42,3.91,16.0,67,0,5.1,FR,2020-11-08 01:09:58
137,Guácimo,10.21,-83.68,19.0,93,90,3.1,CR,2020-11-08 01:09:58
138,Mariental,-24.63,17.97,15.69,51,0,3.07,NA,2020-11-08 01:09:58
139,Rio do Sul,-27.21,-49.64,20.0,86,4,1.57,BR,2020-11-08 01:09:58
140,Lüderitz,-26.65,15.16,16.03,87,0,1.57,NA,2020-11-08 01:09:59
141,Khāsh,28.22,61.22,7.15,59,0,0.65,IR,2020-11-08 01:09:59
142,Gijang,35.24,129.21,13.0,50,0,0.5,KR,2020-11-08 01:09:59
143,Ilhabela,-23.78,-45.36,20.25,76,22,2.29,BR,2020-11-08 01:10:00
144,Dikson,73.51,80.55,-19.18,89,100,6.15,RU,2020-11-08 01:10:00
145,Castro,-24.79,-50.01,15.95,59,0,2.58,BR,2020-11-08 01:05:37
146,Tiksi,71.69,128.87,-21.42,92,71,1.02,RU,2020-11-08 01:10:00
147,Karhal,27.0,78.94,17.44,28,0,1.45,IN,2020-11-08 01:06:07
148,Taoudenni,22.68,-3.98,26.73,16,43,4.67,ML,2020-11-08 01:10:01
149,Weatherford,32.76,-97.8,18.89,70,0,3.35,US,2020-11-08 01:09:04
150,Sedalia,38.7,-93.23,18.33,55,1,2.6,US,2020-11-08 01:10:01
151,Måløy,61.94,5.11,8.0,100,100,2.6,NO,2020-11-08 01:10:01
152,Margate,51.38,1.39,12.22,66,14,0.45,GB,2020-11-08 01:05:59
153,San Quintín,30.48,-115.95,16.77,60,0,8.01,MX,2020-11-08 01:10:01
154,Paamiut,61.99,-49.67,-2.58,89,100,11.53,GL,2020-11-08 01:10:02
155,Carupano,10.67,-63.26,26.32,87,0,3.97,VE,2020-11-08 01:10:02
156,Goba,7.02,39.98,9.49,89,69,0.73,ET,2020-11-08 01:10:02
157,Whitehorse,60.72,-135.05,-14.0,84,75,4.6,CA,2020-11-08 01:05:31
158,Spearfish,44.49,-103.86,17.78,38,1,3.32,US,2020-11-08 01:10:02
159,Cidreira,-30.18,-50.21,19.91,85,18,7.06,BR,2020-11-08 01:10:02
160,Tual,-5.67,132.75,28.18,71,100,5.99,ID,2020-11-08 01:10:03
161,Rakaia,-43.75,172.02,7.22,97,100,0.89,NZ,2020-11-08 01:09:35
162,Butaritari,3.07,172.79,27.38,72,11,4.57,KI,2020-11-08 01:10:04
163,Karpogory,64.0,44.45,3.35,77,100,7.1,RU,2020-11-08 01:10:04
164,Fortuna,40.6,-124.16,10.56,71,20,6.7,US,2020-11-08 01:10:04
165,Kilindoni,-7.91,39.67,26.74,82,50,5.7,TZ,2020-11-08 01:10:05
166,Vardø,70.37,31.11,4.52,72,45,14.17,NO,2020-11-08 01:10:05
167,Nizwá,22.93,57.53,18.28,79,0,0.52,OM,2020-11-08 01:10:06
168,Haines Junction,60.75,-137.51,-19.0,77,100,1.0,CA,2020-11-08 01:10:06
169,Marawi,8.0,124.29,28.33,71,28,0.89,PH,2020-11-08 01:10:06
170,Diamantino,-14.41,-56.45,27.4,54,100,3.25,BR,2020-11-08 01:10:06
171,Katsina,12.99,7.6,21.45,23,0,3.64,NG,2020-11-08 01:10:06
172,Port Elizabeth,-33.92,25.57,16.0,87,0,3.1,ZA,2020-11-08 01:07:54
173,Walvis Bay,-22.96,14.51,15.56,93,10,2.6,NA,2020-11-08 01:10:07
174,Qaanaaq,77.48,-69.36,-24.78,70,0,4.68,GL,2020-11-08 01:10:07
175,Partizanskoye,55.5,94.39,2.76,81,40,3.82,RU,2020-11-08 01:10:07
176,Kharitonovo,61.4,47.5,4.61,91,100,6.17,RU,2020-11-08 01:10:07
177,Bumba,2.18,22.47,21.74,92,81,0.13,CD,2020-11-08 01:10:09
178,Hobart,-42.88,147.33,18.89,47,20,3.6,AU,2020-11-08 01:10:01
179,Bambous Virieux,-20.34,57.76,23.0,83,75,4.6,MU,2020-11-08 01:10:10
180,Östersund,63.18,14.64,2.22,93,90,5.1,SE,2020-11-08 01:10:10
181,Sabla,12.75,4.71,23.61,20,1,3.88,NG,2020-11-08 01:10:10
182,Departamento de Maldonado,-34.67,-54.92,17.0,88,0,2.6,UY,2020-11-08 01:10:10
183,Buchanan,5.88,-10.05,25.0,94,75,3.55,LR,2020-11-08 01:10:10
184,Kloulklubed,7.04,134.26,28.0,78,90,5.7,PW,2020-11-08 01:10:10
185,Epe,6.58,3.98,25.06,90,100,1.84,NG,2020-11-08 01:10:11
186,Honningsvåg,70.98,25.97,3.53,93,100,16.95,NO,2020-11-08 01:10:11
187,Villa María,-32.41,-63.24,22.22,53,0,0.89,AR,2020-11-08 01:07:19
188,Chimbote,-9.09,-78.58,16.82,82,75,3.59,PE,2020-11-08 01:10:11
189,Verkhnevilyuysk,63.45,120.32,-20.9,91,84,2.16,RU,2020-11-08 01:10:11
190,Torbay,47.67,-52.73,3.89,80,20,7.2,CA,2020-11-08 01:05:16
191,Cherskiy,68.75,161.3,-14.78,94,99,3.05,RU,2020-11-08 01:10:11
192,Isangel,-19.55,169.27,29.0,79,75,2.6,VU,2020-11-08 01:10:12
193,Kondagaon,19.6,81.67,13.53,63,0,1.61,IN,2020-11-08 01:10:12
194,Palanga,55.92,21.07,10.0,81,97,3.1,LT,2020-11-08 01:10:12
195,Kattivākkam,13.22,80.32,25.0,94,40,1.0,IN,2020-11-08 01:10:12
196,Port Lincoln,-34.73,135.87,18.73,58,75,7.9,AU,2020-11-08 01:10:12
197,Fengrun,39.83,118.12,7.43,40,0,3.45,CN,2020-11-08 01:10:12
198,Alice Springs,-23.7,133.88,29.0,11,74,5.7,AU,2020-11-08 01:06:12
199,Mwingi,-0.93,38.06,18.79,89,2,1.18,KE,2020-11-08 01:10:14
200,Lakes Entrance,-37.88,147.98,20.0,58,0,3.13,AU,2020-11-08 01:10:15
201,Adrar,20.5,-10.07,27.88,20,0,3.77,MR,2020-11-08 01:10:15
202,Escada,-8.36,-35.22,27.0,78,75,5.7,BR,2020-11-08 01:10:15
203,Chui,-33.7,-53.46,15.23,94,0,2.6,UY,2020-11-08 01:10:15
204,Mananjary,-21.22,48.33,21.23,90,1,2.51,MG,2020-11-08 01:10:15
205,Abu Kamal,34.45,40.92,16.95,61,96,1.63,SY,2020-11-08 01:10:15
206,Petropavlovsk-Kamchatskiy,53.05,158.65,-1.0,68,7,3.0,RU,2020-11-08 01:10:15
207,Mount Isa,-20.73,139.5,33.0,9,40,3.6,AU,2020-11-08 01:10:16
208,Ribeira Grande,38.52,-28.7,16.36,72,8,5.96,PT,2020-11-08 01:10:16
209,Santa Cruz de la Sierra,-17.8,-63.17,30.0,62,0,2.6,BO,2020-11-08 01:06:05
210,Karratha,-20.74,116.85,30.53,32,0,2.96,AU,2020-11-08 01:07:29
211,Grand Gaube,-20.01,57.66,21.67,80,9,1.79,MU,2020-11-08 01:10:16
212,Pirgos,35.12,25.72,18.89,60,17,6.71,GR,2020-11-08 01:10:17
213,Chāndil,22.97,86.05,15.0,87,0,1.67,IN,2020-11-08 01:10:18
214,Tooele,40.53,-112.3,7.22,93,90,10.3,US,2020-11-08 01:10:18
215,East London,-33.02,27.91,21.06,81,0,7.8,ZA,2020-11-08 01:07:56
216,Dilla,6.41,38.31,16.79,81,93,1.56,ET,2020-11-08 01:10:18
217,Jega,12.22,4.38,23.3,21,3,3.71,NG,2020-11-08 01:10:18
218,Yining,29.04,114.56,17.04,51,0,0.69,CN,2020-11-08 01:10:18
219,Vostok,46.49,135.88,-1.8,94,88,0.35,RU,2020-11-08 01:10:20
220,Aldan,58.6,125.39,-19.31,91,100,2.18,RU,2020-11-08 01:10:20
221,Cartagena,10.4,-75.51,28.0,83,20,2.6,CO,2020-11-08 01:10:20
222,Uribia,11.71,-72.27,26.63,83,100,3.01,CO,2020-11-08 01:10:21
223,Novoorsk,51.38,58.98,1.0,100,90,6.0,RU,2020-11-08 01:10:21
224,Mbekenyera,-10.0,38.98,21.65,93,21,1.23,TZ,2020-11-08 01:10:21
225,Sapatgrām,26.33,90.11,17.65,73,0,2.65,IN,2020-11-08 01:10:21
226,Chāndbāli,20.78,86.77,18.88,65,0,2.36,IN,2020-11-08 01:10:21
227,Flin Flon,54.77,-101.86,-8.0,85,90,4.6,CA,2020-11-08 01:10:21
228,Lerwick,60.15,-1.15,4.0,100,58,1.0,GB,2020-11-08 01:10:21
229,Husavik,66.04,-17.34,6.0,48,90,7.2,IS,2020-11-08 01:10:21
230,North Platte,41.12,-100.77,23.0,33,1,9.8,US,2020-11-08 01:10:21
231,Pevek,69.7,170.31,-9.42,96,98,1.14,RU,2020-11-08 01:10:21
232,Chermoz,58.79,56.15,0.13,96,80,5.23,RU,2020-11-08 01:10:23
233,Hong Gai,20.96,107.09,24.0,60,0,1.5,VN,2020-11-08 01:10:23
234,Mehamn,71.04,27.85,3.65,75,89,13.22,NO,2020-11-08 01:10:23
235,Sitka,57.05,-135.33,4.0,69,1,0.93,US,2020-11-08 01:09:58
236,Tutóia,-2.76,-42.27,27.42,77,0,6.32,BR,2020-11-08 01:10:23
237,Ayan,56.45,138.17,-11.56,86,99,8.19,RU,2020-11-08 01:10:23
238,Enid,36.4,-97.88,19.0,77,1,4.6,US,2020-11-08 01:06:53
239,Mossamedes,-15.2,12.15,20.57,70,100,4.07,AO,2020-11-08 01:10:23
240,Bima,-8.47,118.72,33.29,48,69,0.78,ID,2020-11-08 01:10:23
241,Kruisfontein,-34.0,24.73,12.78,91,0,0.45,ZA,2020-11-08 01:10:24
242,Batemans Bay,-35.72,150.18,18.33,60,21,3.1,AU,2020-11-08 01:07:35
243,Mīzan Teferī,6.98,35.58,16.46,90,38,0.91,ET,2020-11-08 01:10:24
244,Ponta Delgada,37.73,-25.67,14.0,76,20,1.5,PT,2020-11-08 01:10:24
245,Cururupu,-1.83,-44.87,25.58,87,28,1.92,BR,2020-11-08 01:10:24
246,Owatonna,44.08,-93.23,18.33,68,1,9.3,US,2020-11-08 01:10:24
247,Longyearbyen,78.22,15.64,-1.0,80,75,2.1,SJ,2020-11-08 01:10:24
248,Taseyevo,57.22,94.9,3.08,88,94,1.63,RU,2020-11-08 01:10:24
249,Nuuk,64.18,-51.72,-6.0,79,100,5.1,GL,2020-11-08 01:10:25
250,Vila do Maio,15.13,-23.22,25.0,83,0,6.7,CV,2020-11-08 01:10:25
251,Aasiaat,68.71,-52.87,-13.66,84,4,3.1,GL,2020-11-08 01:10:25
252,Evensk,61.95,159.23,-10.13,90,81,4.51,RU,2020-11-08 01:10:25
253,Muli,2.92,73.57,28.98,68,99,2.95,MV,2020-11-08 01:10:25
254,Henties Bay,-22.12,14.28,15.56,92,84,0.89,NA,2020-11-08 01:10:26
255,Geraldton,-28.77,114.6,23.0,64,90,4.6,AU,2020-11-08 01:10:22
256,Davila,18.47,120.58,24.0,94,90,3.1,PH,2020-11-08 01:10:27
257,Vanimo,-2.67,141.3,24.86,87,100,2.23,PG,2020-11-08 01:10:27
258,Tadine,-21.55,167.88,25.43,73,33,6.16,NC,2020-11-08 01:10:27
259,Olinda,-8.01,-34.86,27.0,78,75,5.7,BR,2020-11-08 01:10:27
260,Talnakh,69.49,88.4,-7.0,85,75,9.0,RU,2020-11-08 01:10:28
261,Hearst,49.68,-83.67,1.0,100,100,1.0,CA,2020-11-08 01:10:28
262,Desaguadero,-16.57,-69.04,9.07,58,91,5.54,PE,2020-11-08 01:10:29
263,Puerto Ayora,-0.74,-90.35,20.56,80,4,2.68,EC,2020-11-08 01:10:29
264,Saint-Philippe,-21.36,55.77,22.0,78,75,1.5,RE,2020-11-08 01:10:29
265,Cascais,38.7,-9.42,16.67,100,100,6.06,PT,2020-11-08 01:10:29
266,Carnarvon,-24.87,113.63,23.0,69,40,7.2,AU,2020-11-08 01:10:29
267,Kos,36.89,27.29,18.0,72,0,2.6,GR,2020-11-08 01:10:29
268,Flinders,-34.58,150.86,18.33,48,75,4.1,AU,2020-11-08 01:10:29
269,Vila Velha,-20.33,-40.29,25.0,83,90,1.0,BR,2020-11-08 01:10:29
270,Lebu,-37.62,-73.65,11.84,79,0,9.82,CL,2020-11-08 01:10:29
271,Beringovskiy,63.05,179.32,-1.83,94,100,5.12,RU,2020-11-08 01:10:30
272,Katsuura,35.13,140.3,21.67,55,100,0.45,JP,2020-11-08 01:10:30
273,Kahului,20.89,-156.47,32.0,52,40,10.8,US,2020-11-08 01:10:31
274,Dudinka,69.41,86.18,-7.0,85,75,9.0,RU,2020-11-08 01:10:31
275,Hong Kong,22.29,114.16,25.56,57,98,0.45,HK,2020-11-08 01:04:17
276,Namtsy,62.72,129.67,-19.0,77,75,3.0,RU,2020-11-08 01:10:31
277,Takoradze,4.88,-1.76,25.86,86,100,3.82,GH,2020-11-08 01:10:31
278,Esperance,-33.87,121.9,18.0,77,3,2.1,AU,2020-11-08 01:10:32
279,Bumbuna,9.05,-11.73,21.64,96,0,0.56,SL,2020-11-08 01:10:32
280,Port Hedland,-20.32,118.57,33.0,27,0,3.6,AU,2020-11-08 01:10:33
281,Olafsvik,64.89,-23.71,4.37,72,4,11.37,IS,2020-11-08 01:10:33
282,Turaif,31.67,38.66,14.0,76,0,6.2,SA,2020-11-08 01:10:33
283,Carauari,-4.88,-66.9,25.06,85,84,1.04,BR,2020-11-08 01:10:33
284,Kulhudhuffushi,6.62,73.07,28.64,76,76,6.27,MV,2020-11-08 01:10:33
285,Quatre Cocos,-20.21,57.76,23.0,83,75,4.6,MU,2020-11-08 01:10:33
286,Winnemucca,40.97,-117.74,1.0,86,90,3.1,US,2020-11-08 01:10:33
287,Shenjiamen,29.96,122.3,18.72,69,0,6.66,CN,2020-11-08 01:10:33
288,Lahaina,20.88,-156.68,32.0,62,40,8.2,US,2020-11-08 01:05:48
289,Norman Wells,65.28,-126.83,-2.0,100,75,1.5,CA,2020-11-08 01:10:34
290,Porto Velho,-8.76,-63.9,29.0,66,40,2.1,BR,2020-11-08 01:10:34
291,Harbour Breton,47.48,-55.8,5.56,100,2,1.34,CA,2020-11-08 01:10:34
292,Hofn,64.25,-15.21,6.86,87,100,9.68,IS,2020-11-08 01:10:34
293,Katobu,-4.94,122.53,32.22,50,4,0.58,ID,2020-11-08 01:10:34
294,Ribnitz-Damgarten,54.25,12.47,3.0,93,4,2.08,DE,2020-11-08 01:10:35
295,Goderich,43.75,-81.72,16.0,55,44,4.6,CA,2020-11-08 01:01:20
296,Dhule,20.9,74.78,18.57,47,0,1.5,IN,2020-11-08 01:10:36
297,Grand-Santi,4.25,-54.38,23.85,92,25,2.02,GF,2020-11-08 01:10:36
298,Lima,-12.04,-77.03,18.0,77,0,4.1,PE,2020-11-08 01:10:36
299,Borsec,46.95,25.57,7.22,42,0,0.99,RO,2020-11-08 01:10:36
300,Sabang,5.89,95.32,26.89,75,82,1.48,ID,2020-11-08 01:10:37
301,Lorengau,-2.02,147.27,29.34,62,100,3.09,PG,2020-11-08 01:10:37
302,Tumarbong,10.38,119.46,26.91,72,100,0.62,PH,2020-11-08 01:10:37
303,La Paz,-16.5,-68.15,8.0,28,20,4.6,BO,2020-11-08 01:09:32
304,San Policarpo,12.18,125.51,28.0,74,100,3.17,PH,2020-11-08 01:10:37
305,Kuching,1.55,110.33,27.0,88,20,1.0,MY,2020-11-08 01:10:37
